物品编号,物品重量,物品价值
6,2.74,330.41
7,9.88,372.00
17,25.13,315.11
21,28.05,360.25
23,36.25,253.14
26,6.42,254.99
28,4.62,427.43
32,24.88,374.37
33,29.34,418.18
36,13.64,180.50
40,18.50,390.26
44,7.75,168.63
45,15.93,342.11
48,4.29,400.00
51,15.46,177.10
52,26.01,274.37
53,11.41,351.89
54,26.20,290.39
55,6.12,237.47
56,11.68,140.52
59,40.16,340.52
61,43.21,316.44
62,34.23,328.45
64,20.86,194.20
66,30.46,407.83
70,11.48,323.74
71,11.75,195.54
72,13.21,227.56
73,4.47,109.47
75,14.58,368.62
76,15.49,372.71
78,11.06,270.96
80,19.31,179.14
81,23.56,177.45
82,57.94,414.37
84,26.38,339.91
86,29.31,344.62
91,14.25,206.51
92,3.24,333.35
93,8.59,106.72
95,7.75,260.91
98,6.61,240.58
102,64.03,420.63
105,13.87,246.47
108,4.24,236.96
109,19.96,338.19
110,2.18,237.64
111,7.10,427.65
114,1.60,187.02
120,4.84,115.94
121,47.98,336.38
122,7.09,376.93
123,32.31,291.20
125,2.32,377.99
127,32.79,216.29
133,4.99,335.82
134,49.27,322.36
135,7.98,332.94
136,28.21,272.82
139,22.34,398.00
142,2.25,385.00
143,13.54,424.66
144,34.82,260.24
145,15.49,131.08
146,16.64,301.39
147,4.83,313.93
148,13.97,108.60
149,22.40,334.29
152,3.11,424.81
155,42.14,362.27
157,33.42,334.72
161,32.97,424.75
164,2.84,202.99
166,5.49,119.18
167,37.21,276.46
170,21.16,188.99
174,18.64,188.88
176,26.27,353.56
179,13.65,126.33
182,25.16,286.76
188,23.06,416.74
190,6.93,262.86
191,23.30,231.39
194,39.08,343.40
196,10.97,300.39
197,30.00,359.75
198,35.78,392.84
199,27.58,400.19
201,19.55,381.28
202,19.14,151.48
205,24.65,247.70
206,31.57,272.01
208,2.02,179.11
210,10.33,359.79
215,10.78,244.56
217,40.36,386.87
219,15.64,353.49
220,40.89,300.11
221,9.13,218.49
224,14.06,367.20
232,22.48,153.09
234,15.88,365.93
235,7.04,290.82
236,10.83,189.32
246,5.65,229.52
249,16.63,311.85
